id,ts,ruuvi,aplicom,companyid,address,rssi,advdata,lat,lon,geom,temperature,accx,accy,accz,battvoltage,txpower,movcounter,measseqnum,calibrated_accx,calibrated_accy,calibrated_accz
19073454,2025-11-27 00:06:20.323+02,"",Aplicom A11 001,"",80E4DA7EC61B,-65,"",60.234862,23.588156,0101000020E610000039F24064919637405D8940F50F1E4E40,,,,,,,,,,,
19073455,2025-11-27 00:06:21.841+02,"",Aplicom A11 001,"",80E4DA7EC61B,-58,"",60.23509,23.587418,0101000020E6100000EC14AB0661963740EECEDA6D171E4E40,,,,,,,,,,,
19073456,2025-11-27 00:06:23.638+02,"",Aplicom A11 001,"",80E4DA7EC61B,-51,"",60.235293,23.58686,0101000020E6100000A054FB743C96374026FDBD141E1E4E40,,,,,,,,,,,
19073457,2025-11-27 00:06:25.228+02,"",Aplicom A11 001,"",80E4DA7EC61B,-65,"",60.235455,23.586463,0101000020E610000065506D70229637400057B263231E4E40,,,,,,,,,,,
19073458,2025-11-27 00:06:26.774+02,"",Aplicom A11 001,"",80E4DA7EC61B,-78,020106,60.235624,23.586074,0101000020E6100000310917F2089637408C135FED281E4E40,,,,,,,,,,,
19073459,2025-11-27 00:06:28.297+02,"",Aplicom A11 001,"",80E4DA7EC61B,-73,"",60.235798,23.585697,0101000020E6100000855D143DF09537402A3BFDA02E1E4E40,,,,,,,,,,,
19073460,2025-11-27 00:06:29.828+02,"",Aplicom A11 001,"",80E4DA7EC61B,-68,"",60.235979,23.58533,0101000020E6100000205ED72FD89537407AC5538F341E4E40,,,,,,,,,,,
19073461,2025-11-27 00:06:31.362+02,"",Aplicom A11 001,"",80E4DA7EC61B,-72,"",60.236159,23.584966,0101000020E61000009E45EF54C0953740FAD346753A1E4E40,,,,,,,,,,,
19073462,2025-11-27 00:06:32.885+02,"",Aplicom A11 001,"",80E4DA7EC61B,-89,020106,60.236338,23.584597,0101000020E6100000F7562426A8953740AA66D652401E4E40,,,,,,,,,,,
19073503,2025-11-27 00:06:36.186+02,"",Aplicom A11 001,"",80E4DA7EC61B,-73,"",60.236756,23.58371,0101000020E61000002159C0046E953740DE9046054E1E4E40,,,,,,,,,,,
19073504,2025-11-27 00:06:37.722+02,"",Aplicom A11 001,"",80E4DA7EC61B,-67,"",60.23693,23.583309,0101000020E6100000647616BD539537407CB8E4B8531E4E40,,,,,,,,,,,
19073505,2025-11-27 00:06:39.263+02,"",Aplicom A11 001,"",80E4DA7EC61B,-70,"",60.237101,23.582893,0101000020E61000003C11C47938953740A96C5853591E4E40,,,,,,,,,,,
19073506,2025-11-27 00:06:40.787+02,"",Aplicom A11 001,"",80E4DA7EC61B,-72,"",60.237266,23.582461,0101000020E61000000932022A1C953740F33977BB5E1E4E40,,,,,,,,,,,
19073507,2025-11-27 00:06:42.307+02,"",Aplicom A11 001,"",80E4DA7EC61B,-60,"",60.237427,23.582015,0101000020E61000000CC85EEFFE943740FC170802641E4E40,,,,,,,,,,,
19073508,2025-11-27 00:06:43.83+02,"",Aplicom A11 001,"",80E4DA7EC61B,-70,"",60.237582,23.58155,0101000020E610000022FDF675E0943740240F4416691E4E40,,,,,,,,,,,
19073509,2025-11-27 00:06:45.389+02,"",Aplicom A11 001,"",80E4DA7EC61B,-63,"",60.237734,23.581073,0101000020E6100000AF963B33C1943740DA9255116E1E4E40,,,,,,,,,,,
19073510,2025-11-27 00:06:46.911+02,"",Aplicom A11 001,"",80E4DA7EC61B,-55,"",60.237881,23.580583,0101000020E6100000139D6516A19437407EAB75E2721E4E40,,,,,,,,,,,
19073511,2025-11-27 00:06:48.609+02,"",Aplicom A11 001,"",80E4DA7EC61B,-65,"",60.238056,23.57991,0101000020E6100000959F54FB74943740EC4E779E781E4E40,,,,,,,,,,,
19073512,2025-11-27 00:06:50.126+02,"",Aplicom A11 001,"",80E4DA7EC61B,-68,"",60.238183,23.5794,0101000020E61000006A4DF38E5394374049BBD1C77C1E4E40,,,,,,,,,,,
19073513,2025-11-27 00:06:51.652+02,"",Aplicom A11 001,"",80E4DA7EC61B,-72,"",60.238298,23.578882,0101000020E61000003A3E5A9C31943740E259828C801E4E40,,,,,,,,,,,
19073514,2025-11-27 00:06:54.797+02,"",Aplicom A11 001,"",80E4DA7EC61B,-79,"",60.238512,23.577818,0101000020E6100000460A65E1EB9337400EDAAB8F871E4E40,,,,,,,,,,,
19073515,2025-11-27 00:06:56.316+02,"",Aplicom A11 001,"",80E4DA7EC61B,-73,"",60.238605,23.577274,0101000020E6100000C3D4963AC8933740BFD4CF9B8A1E4E40,,,,,,,,,,,
19073516,2025-11-27 00:06:57.833+02,"",Aplicom A11 001,"",80E4DA7EC61B,-66,"",60.238694,23.576725,0101000020E61000001DC9E53FA49337402FE065868D1E4E40,,,,,,,,,,,
19073517,2025-11-27 00:06:59.39+02,"",Aplicom A11 001,"",80E4DA7EC61B,-72,"",60.238776,23.576167,0101000020E6100000D10836AE7F933740EC884336901E4E40,,,,,,,,,,,
19073518,2025-11-27 00:07:01.011+02,"",Aplicom A11 001,"",80E4DA7EC61B,-80,"",60.238874,23.575419,0101000020E61000003D7FDAA84E933740AFEE586C931E4E40,,,,,,,,,,,
19073519,2025-11-27 00:07:02.79+02,"",Aplicom A11 001,"",80E4DA7EC61B,-61,"",60.23894,23.574854,0101000020E61000008BF9B9A12993374066DAFE95951E4E40,,,,,,,,,,,
19073521,2025-11-27 00:07:04.312+02,"",Aplicom A11 001,"",80E4DA7EC61B,-64,"",60.239001,23.574287,0101000020E610000099840B79049337400C5BB395971E4E40,,,,,,,,,,,
19073523,2025-11-27 00:07:05.833+02,"",Aplicom A11 001,"",80E4DA7EC61B,-87,"",60.239055,23.573715,0101000020E610000082397AFCDE923740FF78AF5A991E4E40,,,,,,,,,,,
19073524,2025-11-27 00:07:07.407+02,"",Aplicom A11 001,"",80E4DA7EC61B,-72,020106,60.239103,23.573141,0101000020E61000002AFF5A5EB992374010B056ED9A1E4E40,,,,,,,,,,,
19073525,2025-11-27 00:07:08.946+02,"",Aplicom A11 001,"",80E4DA7EC61B,-66,"",60.239164,23.572374,0101000020E6100000A9143B1A87923740B6300BED9C1E4E40,,,,,,,,,,,
19073526,2025-11-27 00:07:10.476+02,"",Aplicom A11 001,"",80E4DA7EC61B,-64,"",60.239188,23.571987,0101000020E6100000B6BC72BD6D9237403ECC5EB69D1E4E40,,,,,,,,,,,
19073527,2025-11-27 00:07:12.035+02,"",Aplicom A11 001,"",80E4DA7EC61B,-70,"",60.239228,23.571212,0101000020E61000002F151BF33A923740CC24EA059F1E4E40,,,,,,,,,,,
19073528,2025-11-27 00:07:13.578+02,"",Aplicom A11 001,"",80E4DA7EC61B,-68,"",60.239248,23.570629,0101000020E61000003126FDBD1492374014D1AFAD9F1E4E40,,,,,,,,,,,
19073529,2025-11-27 00:07:15.107+02,"",Aplicom A11 001,"",80E4DA7EC61B,-60,"",60.239262,23.570045,0101000020E6100000923F1878EE91374078962023A01E4E40,,,,,,,,,,,
19073530,2025-11-27 00:07:16.634+02,"",Aplicom A11 001,"",80E4DA7EC61B,-74,"",60.239271,23.569463,0101000020E61000003448C153C8913740CCF09F6EA01E4E40,,,,,,,,,,,
19073531,2025-11-27 00:07:18.202+02,"",Aplicom A11 001,"",80E4DA7EC61B,-71,"",60.239272,23.56888,0101000020E61000003659A31EA29137409C6C0377A01E4E40,,,,,,,,,,,
19073532,2025-11-27 00:07:20.355+02,"",Aplicom A11 001,"",80E4DA7EC61B,-70,"",60.239272,23.568491,0101000020E610000002124DA0889137409C6C0377A01E4E40,,,,,,,,,,,
19073533,2025-11-27 00:07:21.971+02,"",Aplicom A11 001,"",80E4DA7EC61B,-63,"",60.23927,23.567322,0101000020E6100000234DBC033C913740FB743C66A01E4E40,,,,,,,,,,,
19073534,2025-11-27 00:07:23.49+02,"",Aplicom A11 001,"",80E4DA7EC61B,-65,"",60.239262,23.56674,0101000020E6100000C55565DF1591374078962023A01E4E40,,,,,,,,,,,
19073535,2025-11-27 00:07:25.014+02,"",Aplicom A11 001,"",80E4DA7EC61B,-63,"",60.239255,23.566155,0101000020E61000008577B988EF903740C63368E89F1E4E40,,,,,,,,,,,
19073536,2025-11-27 00:07:26.616+02,"",Aplicom A11 001,"",80E4DA7EC61B,-81,"",60.239248,23.565571,0101000020E6100000E690D442C990374014D1AFAD9F1E4E40,,,,,,,,,,,
19073537,2025-11-27 00:07:28.198+02,"",Aplicom A11 001,"",80E4DA7EC61B,-66,"",60.239249,23.564986,0101000020E6100000A7B228ECA2903740E44C13B69F1E4E40,,,,,,,,,,,
19073538,2025-11-27 00:07:29.715+02,"",Aplicom A11 001,"",80E4DA7EC61B,-65,"",60.239251,23.564403,0101000020E6100000A8C30AB77C9037408544DAC69F1E4E40,,,,,,,,,,,
19073539,2025-11-27 00:07:31.26+02,"",Aplicom A11 001,"",80E4DA7EC61B,-65,"",60.239258,23.563819,0101000020E610000009DD25715690374037A79201A01E4E40,,,,,,,,,,,
19073540,2025-11-27 00:07:32.807+02,"",Aplicom A11 001,"",80E4DA7EC61B,-66,"",60.239273,23.563233,0101000020E61000002907B309309037406CE8667FA01E4E40,,,,,,,,,,,
19073541,2025-11-27 00:07:34.353+02,"",Aplicom A11 001,"",80E4DA7EC61B,-67,"",60.239293,23.562649,0101000020E61000008A20CEC309903740B4942C27A11E4E40,,,,,,,,,,,
19073542,2025-11-27 00:07:35.898+02,"",Aplicom A11 001,"",80E4DA7EC61B,-66,"",60.239322,23.562067,0101000020E61000002C29779FE38F37404E9B711AA21E4E40,,,,,,,,,,,
19073543,2025-11-27 00:07:39.208+02,"",Aplicom A11 001,"",80E4DA7EC61B,-70,"",60.239408,23.560712,0101000020E6100000897956D28A8F37404C33DDEBA41E4E40,,,,,,,,,,,
19073544,2025-11-27 00:07:40.774+02,"",Aplicom A11 001,"",80E4DA7EC61B,-56,"",60.239457,23.560134,0101000020E6100000AF601BF1648F37402EE6E786A61E4E40,,,,,,,,,,,
19073545,2025-11-27 00:07:42.294+02,"",Aplicom A11 001,"",80E4DA7EC61B,-54,"",60.239504,23.559555,0101000020E6100000335019FF3E8F37406EA12B11A81E4E40,,,,,,,,,,,
19073546,2025-11-27 00:07:43.84+02,"",Aplicom A11 001,"",80E4DA7EC61B,-61,020106,60.239563,23.55898,0101000020E61000003A1E3350198F3740732A1900AA1E4E40,,,,,,,,,,,
19073547,2025-11-27 00:07:45.389+02,"",Aplicom A11 001,"",80E4DA7EC61B,-73,"",60.239631,23.558408,0101000020E610000024D3A1D3F38E3740CC0D863AAC1E4E40,,,,,,,,,,,
19073548,2025-11-27 00:07:46.911+02,"",Aplicom A11 001,"",80E4DA7EC61B,-62,"",60.239698,23.557838,0101000020E61000004F779E78CE8E374053758F6CAE1E4E40,,,,,,,,,,,
19073549,2025-11-27 00:07:48.49+02,"",Aplicom A11 001,"",80E4DA7EC61B,-65,"",60.239771,23.557269,0101000020E61000001B13622EA98E3740BDC3EDD0B01E4E40,,,,,,,,,,,
19073550,2025-11-27 00:07:50.019+02,"",Aplicom A11 001,"",80E4DA7EC61B,-62,"",60.239875,23.556515,0101000020E6100000C3BB5CC4778E374062105839B41E4E40,,,,,,,,,,,
19073551,2025-11-27 00:07:51.787+02,"",Aplicom A11 001,"",80E4DA7EC61B,-62,"",60.239957,23.555953,0101000020E6100000F31C91EF528E37401FB935E9B61E4E40,,,,,,,,,,,
19073552,2025-11-27 00:07:53.31+02,"",Aplicom A11 001,"",80E4DA7EC61B,-54,"",60.240044,23.555397,0101000020E6100000E84B6F7F2E8E3740EECC04C3B91E4E40,,,,,,,,,,,
19073553,2025-11-27 00:07:54.958+02,"",Aplicom A11 001,"",80E4DA7EC61B,-71,"",60.240165,23.554668,0101000020E61000004223D8B8FE8D374069520ABABD1E4E40,,,,,,,,,,,
19073554,2025-11-27 00:07:56.475+02,"",Aplicom A11 001,"",80E4DA7EC61B,-59,"",60.240263,23.554124,0101000020E6100000C0ED0912DB8D37402CB81FF0C01E4E40,,,,,,,,,,,
19073555,2025-11-27 00:07:58.039+02,"",Aplicom A11 001,"",80E4DA7EC61B,-61,"",60.240367,23.553575,0101000020E610000019E25817B78D3740D1048A58C41E4E40,,,,,,,,,,,
19073556,2025-11-27 00:07:59.577+02,"",Aplicom A11 001,"",80E4DA7EC61B,-65,"",60.240478,23.55303,0101000020E6100000F6B4C35F938D374029B4ACFBC71E4E40,,,,,,,,,,,
19073557,2025-11-27 00:08:01.102+02,"",Aplicom A11 001,"",80E4DA7EC61B,-75,"",60.240591,23.552489,0101000020E610000056664AEB6F8D3740215B96AFCB1E4E40,,,,,,,,,,,
19073558,2025-11-27 00:08:02.647+02,"",Aplicom A11 001,"",80E4DA7EC61B,-80,"",60.240707,23.551951,0101000020E610000097FE25A94C8D37408A75AA7CCF1E4E40,,,,,,,,,,,
