id,ts,ruuvi,aplicom,companyid,address,rssi,advdata,lat,lon,geom,temperature,accx,accy,accz,battvoltage,txpower,movcounter,measseqnum,calibrated_accx,calibrated_accy,calibrated_accz
18615026,2025-11-10 01:48:05.187+02,"",Aplicom A11 001,0499,E78E9C0B06E0,-86,0201061bff9904050512ffffffff02a4fd0cfffc7e96551cd7e78e9c0b06e0,60.493215,22.287981,0101000020E61000008FDE701FB9493640C5724BAB213F4E40,6.49,676,-756,-4,2.612,4,85,7383,-36.640755311008405,3.6398956685521235,2.1061106962769145
18615027,2025-11-10 01:48:07.15+02,"",Aplicom A11 001,0499,E78E9C0B06E0,-79,0201061bff9904050511ffffffff02a4fd14fff87e96551cd8e78e9c0b06e0,60.493212,22.287982,0101000020E610000030D63730B949364054FF2092213F4E40,6.485,676,-748,-8,2.612,4,85,7384,-41.0932129496763,8.394061255576492,8.235835857083202
18615028,2025-11-10 01:48:09.034+02,"",Aplicom A11 001,0499,E198DBE2771E,-85,0201061bff9904050530ffffffff03dcfe8cfff074f6681c10e198dbe2771e,60.493206,22.28798,0101000020E6100000EFE6A90EB94936407218CC5F213F4E40,6.64,988,-372,-16,2.535,4,104,7184,-4.4697152397615145,42.277060943692966,-1.0472818504724728
18615033,2025-11-10 01:48:20.72+02,"",Aplicom A11 001,0499,E78E9C0B06E0,-81,0201061bff9904050511ffffffff02a0fd0cfffc7e96551cdde78e9c0b06e0,60.493177,22.288002,0101000020E6100000BE2EC37FBA493640D811876C203F4E40,6.485,672,-756,-4,2.612,4,85,7389,-36.17501588433713,0.67158597786135,4.746607688624181
18615034,2025-11-10 01:48:23.017+02,"",Aplicom A11 001,0499,E198DBE2771E,-84,0201061bff9904050530ffffffff03dcfe94ffec74f6681c15e198dbe2771e,60.493175,22.288007,0101000020E6100000E204A6D3BA493640371AC05B203F4E40,6.64,988,-364,-20,2.535,4,104,7189,-6.2710596285933455,50.4726703248873,2.049029707446607
18615035,2025-11-10 01:48:24.884+02,"",Aplicom A11 001,0499,E78E9C0B06E0,-83,0201061bff990405050fffffffff02a4fd0c00087e96551cdfe78e9c0b06e0,60.493172,22.288013,0101000020E6100000A6D24F38BB493640C6A69542203F4E40,6.475,676,-756,8,2.612,4,85,7391,-24.74479596888232,5.170863021988292,1.7288968402273213
18615036,2025-11-10 01:48:26.743+02,"",Aplicom A11 001,0499,E198DBE2771E,-83,0201061bff990405052fffffffff03e0fe8cfff074f6681c17e198dbe2771e,60.493172,22.288013,0101000020E6100000A6D24F38BB493640C6A69542203F4E40,6.635,992,-372,-16,2.535,4,104,7191,-4.04108612119356,43.764697792739646,-4.73553532387632
18615037,2025-11-10 01:48:28.615+02,"",Aplicom A11 001,0499,E78E9C0B06E0,-82,0201061bff9904050511ffffffff02a8fd0c00007e96551ce0e78e9c0b06e0,60.493171,22.288015,0101000020E6100000E8C1DD59BB493640F52A323A203F4E40,6.485,680,-756,0,2.612,4,85,7392,-33.14117495697097,7.1185278103882865,-0.6601242480869587
18615038,2025-11-10 01:48:31.002+02,"",Aplicom A11 001,0499,E198DBE2771E,-83,0201061bff9904050530ffffffff03e0fe90fffc74f6681c18e198dbe2771e,60.493171,22.288015,0101000020E6100000E8C1DD59BB493640F52A323A203F4E40,6.64,992,-368,-4,2.535,4,104,7192,8.510967934361524,43.98640180825866,-3.1873795449166664
18615039,2025-11-10 01:48:34.709+02,"",Aplicom A11 001,0499,E78E9C0B06E0,-83,0201061bff990405050fffffffff02a8fd14fffc7e96551ce2e78e9c0b06e0,60.493169,22.288015,0101000020E6100000E8C1DD59BB49364055336B29203F4E40,6.475,680,-748,-4,2.612,4,85,7394,-37.59363259563887,11.872693397412656,5.469600912719329
